highschoolGPA,pre_intervention_GPA,gradegoal,gradegoal_E2,motivation,motivation_E2,importance,importance_E2,confidence,confidence_E2,grade,exam_1,exam_2,group
3.6,2.765,3,3,6.25,6.25,6.25,6.25,4.75,4.75,85,83,81,0
NA,2.948,1,2,7,7,7,7,4,4,92.3,87,93,1
NA,3.212,4,NA,5.5,NA,6.25,NA,5.5,NA,79.6,82,77,1
4.17,3.294,1,1,6.25,6.25,7,7,3.25,1,78.6,74,71,1
3.85,2.946,2,2,6.25,7,7,7,4.75,5.5,94.8,88,96,1
4,3.108,1,1,7,5.5,7,5.5,5.5,4.75,93.5,90,94,0
NA,3.603,NA,2,NA,6.25,NA,6.25,NA,5.5,91.7,97,96,0
3.9,3.768,2,2,5.5,5.5,4.75,5.5,4,4,93.7,91,97,1
3.7,2.95,3,3,6.25,7,6.25,6.25,6.25,7,90.5,85,93,0
4,3.68,2,1,5.5,5.5,5.5,4,6.25,4.75,96.4,96,96,1
3.8,3.437,2,2,6.25,7,6.25,5.5,4.75,3.25,89,80,93,1
NA,3.065,NA,3,NA,6.25,NA,6.25,NA,4.75,74,91,58,1
3.79,2.938,2,2,6.25,7,6.25,7,4,5.5,82,84,71,0
NA,3.693,1,1,3.25,6.25,5.5,7,2.5,4,94.5,84,99,1
NA,1.629,1,NA,6.25,NA,7,NA,5.5,NA,81.7,82,88,1
NA,3.362,2,1,7,7,7,7,5.5,4.75,87.9,75,91,1
4.06,3.589,2,2,7,7,7,6.25,5.5,7,82.5,78,83,0
3.76,3.881,2,3,7,7,7,7,5.5,6.25,89.8,87,85,1
3.7,2.448,2,5,5.5,5.5,5.5,5.5,7,6.25,83.7,78,84,1
4,3.668,1,2,6.25,5.5,4.75,4.75,4.75,5.5,97.5,100,96,1
NA,3.055,NA,NA,NA,NA,NA,NA,NA,NA,89.6,85,96,NA
3.95,2.911,2,2,5.5,5.5,6.25,6.25,4.75,3.25,78.1,79,81,1
3.8,3.675,4,3,6.25,5.5,7,5.5,3.25,4.75,95.9,96,98,0
NA,3.916,NA,3,NA,4.75,NA,5.5,NA,2.5,85,79,84,1
3.7,3.368,5,5,5.5,4.75,4,4,5.5,4,81.6,76,79,0
NA,2.56,NA,2,NA,7,NA,7,NA,4,89,87,90,0
3.8,3.048,2,4,5.5,6.25,5.5,6.25,5.5,5.5,77.3,69,79,1
NA,3.4,NA,2,NA,5.5,NA,6.25,NA,4,87.3,87,85,1
3.8,2.763,4,1,4.75,6.25,7,6.25,5.5,4.75,84.4,71,89,1
3.4,3.42,1,4,5.5,7,5.5,7,5.5,5.5,83.6,72,92,1
3.9,3.662,2,3,4.75,5.5,4.75,7,4.75,3.25,83.9,71,92,0
4.1,2.934,2,2,7,5.5,7,5.5,5.5,4.75,89.1,86,88,0
4.037,3.066,2,4,7,7,6.25,5.5,5.5,4.75,92.9,84,96,1
4.02,3.227,1,1,7,7,7,7,6.25,6.25,91.3,88,92,0
4,2.741,1,1,7,7,7,7,6.25,6.25,94.6,92,95,1
3.7,3.576,3,4,6.25,5.5,7,6.25,5.5,4.75,85.4,79,83,0
3.7,3.248,2,2,7,7,7,6.25,6.25,5.5,87.2,88,83,1
3.978,4,2,3,5.5,6.25,5.5,6.25,4,4.75,94.7,93,95,1
NA,3.205,NA,5,NA,5.5,NA,5.5,NA,4.75,80.1,73,80,0
3.3,2.916,2,2,7,7,7,7,5.5,4.75,82,72,84,1
NA,3.746,2,NA,4.75,NA,5.5,NA,5.5,NA,92.9,93,95,1
4.4,2.584,1,1,6.25,7,6.25,7,5.5,6.25,91.7,83,96,1
3.6,3.36,5,5,5.5,7,7,7,1.75,4,62,60,50,0
3.65,3.58,1,2,4,7,6.25,7,2.5,7,90.8,85,94,1
3.7,NA,1,1,5.5,4.75,5.5,4.75,5.5,4.75,88,98,87,0
4,3.937,1,1,6.25,3.25,5.5,3.25,5.5,4,95.5,94,96,1
NA,3.74,2,2,6.25,7,6.25,6.25,6.25,6.25,95.5,91,95,1
3.9,3.255,4,4,7,7,7,7,4.75,4.75,88.2,80,89,0
4.25,3.851,2,2,6.25,5.5,6.25,5.5,5.5,6.25,98.4,96,98,1
4.12,3.812,2,4,6.25,5.5,3.25,5.5,5.5,6.25,92.6,89,89,0
1.8,3.362,2,3,7,7,7,7,4,5.5,89,78,93,1
4.1,2.541,1,2,6.25,6.25,6.25,6.25,5.5,5.5,95.5,94,97,1
4.54,3.046,1,1,6.25,7,7,7,6.25,5.5,91.3,92,88,0
3.7,3.32,1,1,5.5,7,7,7,5.5,7,90.3,83,91,1
3.97,3.356,2,2,6.25,7,6.25,6.25,4,4.75,85.9,82,87,0
