subID,groupnr,condition,Lottery_TOT,lottery1,lottery2,lottery3,lottery4,lottery5,lottery6,age,subgender,feel_interested,feel_distressed,feel_excited,feel_upset,feel_strong,feel_guilty,feel_scared,feel_hostile,feel_enthusiastic,feel_proud,feel_irritable,feel_alert,feel_ashamed,feel_inspired,feel_nervous,feel_determined,feel_attentive,feel_jittery,feel_active,feel_afraid,task_threatening,task_fearful,task_enjoyable,task_worrying,task_hostile,task_challenging,task_stimulating,task_exhilarating,task_painful,task_depressing,task_pitiful,task_informative,task_exciting,task_frightening,task_terrifying,task_intolerable,task_intense,task_unpleasant,betterperf,taskascompetition
BRC,46,1,7,7,7,7,7,7,7,23,1,5,3,3,1,4,1,1,1,4,4,2,4,1,3,1,4,5,1,3,1,1,1,3,1,1,4,4,3,4,3,1,3,3,1,1,4,8,9,4,2
BSA,47,1,4.166666666666667,4,5,6,5,2,3,23,0,4,2,4,1,3,1,1,2,4,4,1,3,1,4,1,3,3,1,3,1,1,1,3,1,1,3,3,4,3,1,3,4,3,1,2,3,6,5,4,5
BSB,47,1,3,3,4,7,2,1,1,20,0,4,1,3,1,3,1,2,1,3,3,2,3,1,3,3,4,4,2,3,2,3,3,3,3,2,4,3,3,3,2,1,3,4,3,3,3,7,6,2,2
BSC,47,1,2.8333333333333335,3,4,2,3,4,1,22,0,5,1,4,2,4,1,1,1,4,3,1,2,3,3,2,4,5,2,3,2,3,3,1,2,1,5,3,3,5,1,1,5,4,2,2,3,8,7,6,6
BTA,48,1,7,7,7,7,7,7,7,21,1,3,1,2,1,3,1,1,1,2,3,1,3,1,3,1,3,3,1,3,1,3,3,1,1,1,3,3,3,4,1,2,2,3,3,3,3,4,6,5,5
BTB,48,1,7,7,7,7,7,7,7,22,0,3,3,4,2,3,1,2,1,4,2,1,1,1,3,1,2,4,2,1,1,1,2,1,2,3,1,2,1,4,3,2,1,2,1,1,2,8,9,1,1
BTC,48,1,7,7,7,7,7,7,7,22,0,4,1,3,1,3,1,1,1,3,3,1,3,1,3,1,4,4,1,4,1,2,1,3,1,1,4,4,3,2,1,1,5,3,1,1,1,6,6,5,5
BUA,49,1,3.8333333333333335,4,4,4,4,4,3,26,1,2,2,3,3,4,3,5,4,5,5,4,3,4,5,3,4,3,2,3,4,1,1,1,3,1,5,2,1,4,1,1,1,2,2,2,4,9,9,6,6
BUB,49,1,5.5,7,7,7,4,4,4,21,1,4,1,3,1,2,1,1,1,3,1,1,2,1,2,1,1,1,1,3,1,2,2,1,2,1,3,1,1,4,1,1,1,1,1,1,4,8,7,3,5
BUC,49,1,4.833333333333333,7,6,4,5,4,3,22,0,4,1,3,2,3,1,1,1,3,2,1,2,1,3,2,3,3,2,3,1,2,2,2,1,1,3,2,1,4,1,1,2,3,1,2,2,8,6,6,3
BVA,50,1,7,7,7,7,7,7,7,22,0,4,1,3,2,3,1,1,1,3,3,1,4,2,4,3,4,3,2,4,1,1,1,2,1,1,5,4,3,3,3,1,3,4,1,1,3,3,3,6,6
BVB,50,1,1,1,1,1,1,1,1,36,1,2,3,2,2,2,1,1,1,2,2,2,2,1,2,1,4,4,2,2,1,1,1,1,1,1,4,4,2,3,1,1,3,3,2,1,3,7,6,6,5
BVC,50,1,2,5,2,1,2,1,1,21,0,4,2,1,1,1,1,1,1,2,1,1,2,2,1,2,1,3,1,1,1,3,2,1,2,1,3,2,1,5,2,1,1,1,2,1,4,7,5,1,2
BWA,51,1,4.5,4,5,3,6,5,4,24,0,4,2,4,3,4,2,2,1,4,4,1,3,3,4,3,4,3,1,3,2,3,2,1,3,2,4,4,2,3,2,1,4,4,2,2,3,5,5,4,4
BWB,51,1,3.1666666666666665,2,3,4,4,3,3,23,1,4,3,3,1,2,1,1,1,3,3,2,4,1,4,3,4,4,1,4,1,1,1,2,1,1,4,4,2,3,1,1,3,3,1,1,2,5,3,5,4
BWC,51,1,4.166666666666667,4,3,4,4,6,4,22,0,4,2,3,2,4,1,1,1,3,3,1,3,2,2,4,3,3,3,3,2,2,1,2,4,2,4,3,2,3,2,2,3,3,1,1,2,7,7,5,4
BXA,52,1,6,5,6,7,6,7,5,25,1,3,1,3,2,5,1,1,1,3,3,3,2,1,2,2,5,4,2,4,1,2,2,3,1,2,5,4,3,2,1,1,4,2,1,1,2,3,2,4,4
BXB,52,1,7,7,7,7,7,7,7,20,1,4,1,2,1,2,1,1,1,3,3,1,3,1,3,3,3,4,2,4,1,1,1,2,1,1,4,3,3,3,1,1,2,3,1,1,3,7,7,4,3
BXC,52,1,3.6666666666666665,2,4,5,3,1,7,24,1,3,1,1,1,3,1,2,1,3,3,1,2,2,2,3,3,3,2,3,1,2,1,2,1,1,4,3,2,3,1,1,2,2,1,1,1,4,3,4,3
BYA,53,1,7,7,7,7,7,7,7,23,0,4,2,4,2,3,3,1,1,4,3,1,3,2,3,1,3,3,2,3,1,1,1,1,2,1,4,3,2,3,1,1,3,3,1,1,2,7,7,4,3
BYB,53,1,6.833333333333333,6,7,7,7,7,7,25,0,3,1,2,1,2,2,1,1,1,2,2,3,2,1,2,3,3,3,2,1,2,2,1,1,1,4,4,1,3,2,1,3,3,1,1,3,7,6,2,2
BYC,53,1,7,7,7,7,7,7,7,21,0,3,1,3,2,1,1,1,2,3,2,2,3,2,2,2,4,3,1,3,1,2,1,2,2,1,4,2,1,3,2,1,1,2,1,1,3,1,1,5,5
BZA,54,1,3.5,4,5,3,2,4,3,24,1,4,4,3,5,2,1,3,1,3,2,4,3,1,2,5,3,2,5,1,4,3,1,2,4,1,4,2,2,4,2,2,2,2,2,4,5,6,8,5,7
BZC,54,1,3.5,4,4,1,4,4,4,22,1,4,2,4,2,5,1,2,1,4,5,1,3,1,4,4,4,3,3,4,2,2,1,2,3,1,5,3,3,3,1,1,2,5,1,1,3,7,6,7,6
