subID,groupnr,condition,cooperation,lottery1,lottery2,lottery3,lottery4,lottery5,lottery6,age,subgender,groupgender,grouphomog,feel_interested,feel_distressed,feel_excited,feel_upset,feel_strong,feel_guilty,feel_scared,feel_hostile,feel_enthusiastic,feel_proud,feel_irritable,feel_alert,feel_ashamed,feel_inspired,feel_nervous,feel_determined,feel_attentive,feel_jittery,feel_active,feel_afraid,task_threatening,task_fearful,task_enjoyable,task_worrying,task_hostile,task_challenging,task_stimulating,task_exhilarating,task_painful,task_depressing,task_pitiful,task_informative,task_exciting,task_frightening,task_terrifying,task_intolerable,task_intense,task_unpleasant,betterperf,taskascompetition
MVB,45,0,5.5,4,5,6,7,6,5,25,0,0,1,4,1,2,1,1,1,1,1,5,3,1,5,2,4,2,4,5,2,5,1,3,2,4,2,1,5,5,4,1,1,1,5,4,1,1,1,1,5,1,3
MVC,45,0,5.5,5,6,6,5,5,6,24,0,0,1,2,2,1,3,3,1,4,1,1,2,4,1,4,1,4,2,4,5,4,3,1,1,3,4,3,5,2,3,3,5,3,3,2,1,1,3,5,4,6,6
MWA,46,0,1.5,1,1,2,1,2,2,27,0,0,1,4,1,3,3,3,1,3,1,4,4,1,4,1,4,4,5,5,3,4,2,1,1,3,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,7,7
MWB,46,0,4.166666666666667,5,6,6,2,2,4,22,0,0,1,4,1,4,1,3,1,1,1,3,3,1,3,1,2,3,3,4,2,3,1,2,3,2,2,1,4,2,2,1,2,1,2,3,2,1,1,1,2,5,6
MWC,46,0,3.1666666666666665,3,6,1,1,7,1,28,0,0,1,3,1,4,5,4,1,1,1,3,3,1,1,1,4,1,4,5,1,5,1,1,1,3,3,1,5,4,4,1,1,1,3,4,1,1,1,1,1,3,2
MXA,49,0,2.1666666666666665,3,2,4,2,1,1,27,1,2,0,2,1,1,1,3,1,2,1,2,2,1,4,2,4,3,3,4,2,3,1,1,2,4,2,1,4,4,3,1,1,1,4,2,1,1,1,1,2,5,6
MXB,49,0,3.5,6,5,1,5,3,1,21,0,2,0,4,2,4,3,1,1,3,1,4,4,1,3,3,2,2,3,4,4,4,2,1,1,3,2,1,5,2,1,1,1,2,1,4,2,1,1,1,1,5,6
MXC,49,0,3.5,7,7,3,1,2,1,20,1,2,0,4,3,3,4,2,1,2,1,2,2,3,4,3,1,4,2,4,2,2,2,3,2,2,4,2,4,4,1,1,3,2,3,2,1,2,2,2,5,4,4
MYA,50,0,2.1666666666666665,2,3,3,2,1,2,21,0,1,0,4,3,4,1,3,1,1,1,4,2,1,4,1,2,3,4,4,1,5,1,1,1,2,1,1,4,3,1,1,1,1,1,2,1,1,1,1,5,5,6
MYB,50,0,2.3333333333333335,5,4,2,1,1,1,24,1,1,0,4,1,2,3,4,1,1,1,3,4,3,2,1,3,2,4,4,1,3,1,5,1,4,2,3,5,4,4,3,2,1,5,4,1,1,2,1,2,6,4
MYC,50,0,1.8333333333333333,3,2,1,3,1,1,20,0,1,0,4,2,2,2,3,1,1,1,2,1,2,3,1,1,1,2,2,1,3,1,1,1,1,2,2,3,2,1,2,2,1,1,2,1,1,2,1,4,2,2
MZA,51,0,3.6666666666666665,7,4,7,1,2,1,21,0,0,1,5,3,4,1,3,3,1,1,4,3,4,3,1,4,4,2,3,4,3,1,1,1,3,1,1,5,3,3,1,1,1,4,4,1,1,1,1,1,6,5
MZB,51,0,2,7,1,1,1,1,1,20,0,0,1,4,1,4,2,4,2,1,1,3,3,1,4,1,2,2,3,4,1,4,1,1,1,4,2,1,4,3,4,1,1,1,2,3,2,1,1,1,1,5,5
MZC,51,0,1.5,1,3,2,1,1,1,21,0,0,1,2,4,2,2,3,1,1,1,1,1,1,3,2,4,2,3,2,2,2,2,2,2,2,2,1,4,3,2,1,1,1,2,3,1,1,1,6,4,1,1
KAA,12,1,3.8333333333333335,4,6,2,3,1,7,21,0,0,1,4,1,5,2,4,1,1,1,4,4,1,2,1,3,1,3,3,1,4,1,1,1,2,1,1,3,3,3,4,1,1,1,4,1,1,3,7,5,NA,NA
