"STUDY","METHOD","CI_OVERLAP"
"Study_1_Chen","parametric",0.621889764579474
"Study_1_Chen","parametric",0.698275945907579
"Study_1_Chen","parametric",0.866278169984865
"Study_1_Chen","parametric",0.913635486408649
"Study_1_Chen","parametric",0.919412400536745
"Study_1_Chen","parametric",0.80183232525281
"Study_1_Chen","parametric",0.758159793528085
"Study_1_Chen","parametric",0.792311841911563
"Study_1_Chen","parametric",0.803687002486199
"Study_1_Chen","parametric",0.635708665052393
"Study_1_Chen","parametric",0.809912117023538
"Study_1_Chen","parametric",0.930543085492182
"Study_1_Chen","parametric",0.653187194018578
"Study_1_Chen","parametric",0.722417472200665
"Study_1_Chen","parametric",0.959997569592253
"Study_1_Chen","parametric",0.873242139305193
"Study_1_Chen","parametric",0.592712899292258
"Study_1_Chen","parametric",0.534344514588204
"Study_1_Chen","parametric",0.772740540283786
"Study_1_Chen","parametric",0.831761664551784
"Study_1_Chen","parametric",0.82980682705634
"Study_1_Chen","parametric",0.923651405969968
"Study_1_Chen","parametric",0.837203214868374
"Study_1_Chen","cart",0.46464499019083
"Study_1_Chen","cart",0.641280846220729
"Study_1_Chen","cart",0.746289894824038
"Study_1_Chen","cart",0.586470221757237
"Study_1_Chen","cart",0.778170507882424
"Study_1_Chen","cart",0.932601584835262
"Study_1_Chen","cart",0.568953080871611
"Study_1_Chen","cart",0.759287965927975
"Study_1_Chen","cart",0.951669299393868
"Study_1_Chen","cart",0.807607570411327
"Study_1_Chen","cart",0.798274463956352
"Study_1_Chen","cart",0.916287770370785
"Study_1_Chen","cart",0.777206492144968
"Study_1_Chen","cart",0.423241725395593
"Study_1_Chen","cart",0.97525020001666
"Study_1_Chen","cart",0.804139297487786
"Study_1_Chen","cart",0.900232315796993
"Study_1_Chen","cart",0.914664239035418
"Study_1_Chen","cart",0.835935514213819
"Study_1_Chen","cart",0.900610823959969
"Study_1_Chen","cart",0.752192164064358
"Study_1_Chen","cart",0.928319805029822
"Study_1_Chen","cart",0.822830855389814
"Study_2_Emanuel_1","boot",0.963840491005833
"Study_2_Emanuel_1","boot",0.94812732823441
"Study_2_Emanuel_1","boot",0.975517383205694
"Study_2_Emanuel_1","boot",0.820751311832147
"Study_2_Emanuel_1","boot",NA
"Study_2_Emanuel_1","boot",NA
"Study_2_Emanuel_1","boot",NA
"Study_2_Emanuel_1","boot",NA
"Study_2_Emanuel_1","boot",NA
"Study_2_Emanuel_1","boot",NA
"Study_2_Emanuel_1","boot",NA
"Study_2_Emanuel_1","boot",0.887063068124803
"Study_2_Emanuel_1","boot",0.930002094259625
"Study_2_Emanuel_1","boot",0.526903993531828
"Study_2_Emanuel_1","boot",0.885883907930353
"Study_2_Emanuel_1","boot",0.672016219725681
"Study_2_Emanuel_1","boot",0.408622487236153
"Study_2_Emanuel_1","boot",NA
"Study_2_Emanuel_1","boot",NA
"Study_2_Emanuel_1","boot",NA
"Study_2_Emanuel_1","boot",NA
"Study_2_Emanuel_1","boot",NA
"Study_2_Emanuel_1","boot",NA
"Study_2_Emanuel_1","boot",NA
"Study_2_Emanuel_1","boot",NA
"Study_2_Emanuel_1","boot",NA
"Study_2_Emanuel_1","boot",NA
"Study_2_Emanuel_1","boot",NA
"Study_2_Emanuel_1","independent",0.659525006248465
"Study_2_Emanuel_1","independent",-0.402472180430258
"Study_2_Emanuel_1","independent",0.674966903426292
"Study_2_Emanuel_1","independent",0.455683256414259
"Study_2_Emanuel_1","independent",NA
"Study_2_Emanuel_1","independent",NA
"Study_2_Emanuel_1","independent",NA
"Study_2_Emanuel_1","independent",NA
"Study_2_Emanuel_1","independent",NA
"Study_2_Emanuel_1","independent",NA
"Study_2_Emanuel_1","independent",NA
"Study_2_Emanuel_1","independent",0.727190636456987
"Study_2_Emanuel_1","independent",-0.426555581996722
"Study_2_Emanuel_1","independent",0.106643673763757
"Study_2_Emanuel_1","independent",0.642083062474952
"Study_2_Emanuel_1","independent",0.443456690059807
"Study_2_Emanuel_1","independent",0.038306427463121
"Study_2_Emanuel_1","independent",NA
"Study_2_Emanuel_1","independent",NA
"Study_2_Emanuel_1","independent",NA
"Study_2_Emanuel_1","independent",NA
"Study_2_Emanuel_1","independent",NA
"Study_2_Emanuel_1","independent",NA
"Study_2_Emanuel_1","independent",NA
"Study_2_Emanuel_1","independent",NA
"Study_2_Emanuel_1","independent",NA
"Study_2_Emanuel_1","independent",NA
"Study_2_Emanuel_1","independent",NA
"Study_2_Emanuel_1","parametric",0.733327090021323
"Study_2_Emanuel_1","parametric",0.0771121221895293
"Study_2_Emanuel_1","parametric",0.712721735818977
"Study_2_Emanuel_1","parametric",0.369365634987078
